loop,trig_cnt,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps
380,83058,-7.776535,-0.381138,-1.091349,27.540263,-24.987017,24.524140
381,83276,-8.626925,-0.671034,-1.650980,15.968784,-74.055235,23.030288
382,83494,-9.092568,-0.769778,-1.268992,10.629475,-109.219397,21.730872
383,83712,-9.578724,-0.823779,-0.482887,-9.483872,-130.112863,24.811155
384,83930,-9.650797,-1.260246,0.624377,-21.064340,-123.783072,30.486598
385,84148,-9.710314,-1.460754,0.368350,-32.784636,-104.631785,27.939062
386,84366,-10.528499,-1.172801,0.665421,-35.376513,-72.209018,9.240611
387,84584,-10.953788,-0.558752,-0.154950,-40.441539,-46.622403,-1.686312
388,84802,-11.455174,0.086544,-1.178280,-36.912656,-17.109788,-22.505531
389,85020,-12.303192,0.431463,-1.960787,-28.614884,18.085760,-40.703254
390,85238,-12.369361,0.605123,-1.374848,-18.315118,35.168702,-40.285271
391,85456,-11.493905,0.833645,-0.342990,-3.163558,72.700253,-42.050797
392,85674,-10.926901,0.922127,0.614565,10.563074,101.465587,-30.771248
393,85892,-9.431787,1.197596,2.208918,18.195039,120.531407,-20.351894
394,86110,-8.101135,1.377025,2.547087,33.538632,113.103425,-6.558243
395,86328,-7.328185,1.207164,2.190916,42.225078,106.328650,8.663518
396,86546,-7.117265,0.441986,0.816039,38.301398,68.884985,14.187296
397,86764,-7.280652,-0.329333,-0.228143,37.209204,20.259325,18.749720
398,86982,-7.956307,-0.411838,-1.302766,34.887979,-44.602065,21.512900
399,87200,-8.731857,-0.687012,-1.694548,16.192977,-81.412408,20.906535
400,87418,-9.026216,-0.829592,-1.173553,8.140567,-113.792956,27.781873
401,87636,-9.375130,-0.875582,-0.132774,-5.574232,-131.139085,28.756602
402,87854,-9.599948,-1.188908,0.588999,-18.632965,-119.159532,23.936330
403,88072,-9.767367,-1.379764,0.590616,-32.449232,-96.289070,24.768344
404,88290,-10.262368,-1.038762,0.382893,-38.473400,-60.253316,2.416105
405,88508,-11.199438,-0.440321,-0.671156,-42.711261,-32.583407,-10.111680
406,88726,-11.668871,0.196622,-1.421085,-38.751659,-8.007510,-20.948794
407,88944,-12.095210,0.620089,-1.794335,-33.331820,18.896176,-38.758472
408,89162,-12.005113,0.724797,-1.275625,-19.296950,51.091150,-45.268497
409,89380,-11.681981,0.573397,-0.174448,-3.269649,84.159242,-46.073606
410,89598,-10.751568,1.321563,0.913401,11.619541,108.783681,-34.169871
411,89816,-9.010295,1.276492,2.185072,28.830811,119.433217,-18.008056
412,90034,-8.111141,1.235202,2.541499,34.549401,124.570999,0.155214
413,90252,-7.136040,1.066058,1.904425,42.486553,99.740867,13.936765
414,90470,-7.075402,0.463685,1.161552,32.968620,62.137733,15.697139
415,90688,-7.097967,-0.260020,0.063205,31.244762,11.789055,19.348279
416,90906,-7.902604,-0.592654,-1.446752,22.035299,-44.589330,18.029198
417,91124,-8.849820,-0.605406,-1.536492,18.890265,-97.684682,25.951892
418,91342,-9.131750,-0.739265,-1.147279,1.939817,-114.388259,26.215195
419,91560,-9.379203,-1.008506,0.209333,-11.641160,-126.563252,24.239696
420,91778,-9.940854,-1.262846,0.502020,-23.340135,-117.503176,27.004635
421,91996,-10.101559,-1.333382,0.634354,-28.089088,-93.689975,23.714930
422,92214,-10.633796,-1.039312,0.001045,-35.275948,-58.932318,7.739518
423,92432,-11.087882,-0.446760,-0.441764,-35.472610,-31.691991,-9.686948
424,92650,-11.690805,0.235330,-1.562026,-36.848620,-4.745739,-28.346582
425,92868,-12.103075,0.514326,-1.853095,-28.645691,17.828851,-35.031085
426,93086,-12.080851,0.703769,-1.345079,-10.509036,55.436533,-40.274731
427,93304,-11.522463,0.717887,-0.182613,-0.940232,85.367430,-36.122488
428,93522,-10.171504,1.014640,1.515994,4.525990,107.403671,-28.537857
429,93740,-8.948802,1.359827,2.243339,23.592509,120.580213,-8.645693
430,93958,-7.746346,1.481754,2.463391,32.611162,124.816831,0.012540
431,94176,-7.217489,0.949336,1.689268,36.645503,97.387496,6.884206
432,94394,-6.971929,0.373675,0.453906,34.012052,58.057560,18.316569
433,94612,-7.426994,-0.418150,-1.026371,40.024280,0.928487,22.355533
434,94830,-8.088186,-0.515582,-1.681596,24.672631,-59.268988,19.535072
435,95048,-8.847054,-0.801038,-1.565661,11.810215,-102.067698,24.653923
